,seconds_elapsed,z,y,x
6,135475700E-2;0,000000000E0;0,000000000E0;0,000000000E0;0,000000000E0
6,636194400E-2;1,124501228E-3;1,112556458E-2;5,762577057E-2;5,870069952E-2
7,136913200E-2;2,801060677E-2;4,507303238E-3;1,262998581E-1;1,294471476E-1
7,637631900E-2;3,728389740E-2;6,374120712E-3;1,631717682E-1;1,674984906E-1
8,135840300E-2;2,166950703E-2;-4,806995392E-3;1,924304962E-1;1,937064031E-1
8,636053800E-2;-2,352774143E-2;7,793188095E-3;1,814279556E-1;1,831130566E-1
9,136267300E-2;-8,941400051E-2;3,688335419E-4;2,353143692E-1;2,517297199E-1
9,636480900E-2;-1,283688545E-1;2,733731270E-2;3,091001511E-1;3,358106533E-1
1,013533500E-1;-1,618348360E-1;-1,015210152E-2;3,442621231E-1;3,805390765E-1
1,063527250E-1;-1,889777184E-1;-5,708718300E-2;3,811140060E-1;4,292078868E-1
1,113521000E-1;-1,762130260E-1;-7,220530510E-2;4,237890244E-1;4,646092700E-1
1,163514750E-1;-1,502947807E-1;-9,314417839E-2;4,343423843E-1;4,689537993E-1
1,213912150E-1;-1,750279069E-1;-9,741258621E-2;3,416833878E-1;3,960700918E-1
1,263987150E-1;-1,943451166E-1;-1,060829163E-1;2,915449142E-1;3,660902163E-1
1,314062670E-1;-1,807620525E-1;-1,052744389E-1;2,555189133E-1;3,302234730E-1
1,364138190E-1;-1,964407563E-1;-1,804950237E-1;2,320804596E-1;3,535940668E-1
1,414232460E-1;-2,123790979E-1;-2,235562801E-1;1,613836288E-1;3,480329974E-1
1,464311630E-1;-2,603667974E-1;-2,516903877E-1;3,626441956E-2;3,639423424E-1
1,514391320E-1;-2,681375742E-1;-2,518029213E-1;-1,391019821E-1;3,932579704E-1
1,564470480E-1;-2,461642027E-1;-2,379550934E-1;-2,701616287E-1;4,361269847E-1
1,614398610E-1;-2,410794497E-1;-2,172966003E-1;-3,437290192E-1;4,727438547E-1
1,664447570E-1;-1,790892482E-1;-2,194657326E-1;-3,627052307E-1;4,602100075E-1
1,714496530E-1;-1,496400237E-1;-1,790530682E-1;-4,257240295E-1;4,854823243E-1
1,764545480E-1;-1,263902783E-1;-1,734244823E-1;-5,081043243E-1;5,515619258E-1
1,814479860E-1;-1,045602560E-1;-1,436402798E-1;-5,540637970E-1;5,818522736E-1
1,864505900E-1;-1,510550976E-1;-1,411323547E-1;-5,420207977E-1;5,801056190E-1
1,914531420E-1;-3,284013867E-1;-9,113407135E-2;-5,016222000E-1;6,064468001E-1
