"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.570384000E-2,-2.054637671E-2,1.248006821E-1,2.110376358E-1,2.460370858E-1
3.366892700E-2,4.774618149E-2,9.857606888E-2,1.838207245E-1,2.139789661E-1
4.151194500E-2,1.899982691E-1,9.020042419E-2,1.184024811E-1,2.413599103E-1
4.941599800E-2,1.750493646E-1,-3.483152390E-2,2.165489197E-1,2.806224326E-1
5.738108600E-2,8.581435680E-2,-1.230139732E-1,2.878379822E-1,3.245724040E-1
6.525462100E-2,1.260802150E-1,-1.097569466E-1,2.260732651E-1,2.811617490E-1
7.318919100E-2,1.279467344E-1,-5.883884430E-2,1.880826950E-1,2.349627132E-1
8.106272600E-2,-1.087900996E-1,1.268596649E-1,4.634857178E-4,1.671193441E-1
8.893626100E-2,6.528973579E-2,2.263364792E-1,-3.727054596E-2,2.384953773E-1
9.690134900E-2,-4.763942957E-2,1.087431908E-1,-4.496192932E-2,1.269494855E-1
1.047748850E-1,-5.016410351E-2,-2.976036072E-2,-1.968050003E-1,2.052664719E-1
1.127094550E-1,-2.642997503E-1,-1.190414429E-1,-2.060270309E-1,3.556295272E-1
1.206135080E-1,-5.849194527E-2,-7.174873352E-2,-2.780065536E-1,2.930133654E-1
1.284870430E-1,2.856408656E-1,-7.259130478E-2,-3.075551987E-1,4.259699541E-1
1.363910950E-1,3.838414550E-1,-1.608257294E-1,-1.644115448E-1,4.474710425E-1
1.442951480E-1,2.625940144E-1,-1.656298637E-1,2.165365219E-1,3.785193964E-1
1.522297190E-1,3.869152069E-2,-1.260709763E-2,8.697280884E-1,8.706795739E-1
1.601032540E-1,1.099228859E-2,1.381955147E-1,1.361015320E0,1.368057576E0
1.679767890E-1,-8.860009909E-2,1.592745781E-1,1.379212379E0,1.391202773E0
1.759113590E-1,-1.996503472E-1,9.882593155E-2,1.198502541E0,1.219030420E0
1.838764470E-1,-2.283000946E-1,4.454231262E-2,9.705266953E-1,9.980115315E-1
1.918110170E-1,-1.081957221E-1,1.496949196E-1,8.409147263E-1,8.609601966E-1
1.996845520E-1,-4.958307743E-2,2.017626762E-1,8.368625641E-1,8.622677138E-1
2.075580880E-1,3.941442668E-1,1.321134567E-1,7.839117050E-1,8.873112361E-1
2.154926580E-1,4.832382798E-1,-2.309179306E-2,4.959554672E-1,6.928378537E-1
2.233661930E-1,3.766669631E-1,-1.180052757E-1,-2.002429962E-2,3.952267941E-1
2.313007630E-1,1.507303119E-1,-8.025789261E-2,-6.571226120E-1,6.789485131E-1
2.391742990E-1,5.257946253E-2,5.739641190E-2,-8.804211617E-1,8.838554010E-1
2.470478340E-1,4.007422924E-2,2.750921249E-2,-8.793654442E-1,8.807078318E-1
2.549824040E-1,-2.835202217E-1,-6.433391571E-2,-7.646203041E-1,8.180261477E-1
2.628864570E-1,3.869818449E-1,1.951417923E-1,-9.353847504E-1,1.030912168E0
2.708820620E-1,-3.842127919E-1,4.619741440E-2,-2.065191269E-1,4.386385988E-1
2.787555970E-1,-2.278369069E-1,8.249378204E-2,-8.643531799E-2,2.572662909E-1
2.866291330E-1,1.233980656E-1,2.023983002E-1,-2.265949249E-1,3.279289778E-1
2.945942200E-1,-2.085053921E-1,1.640911102E-1,1.302938461E-1,2.955958006E-1
3.025898260E-1,-3.133589029E-2,2.378664017E-1,1.915159225E-1,3.069865008E-1
3.105243960E-1,-3.920336366E-1,1.946177483E-1,2.020206451E-1,4.820568236E-1
3.184284490E-1,-1.677560806E-1,3.477663994E-1,3.667259216E-2,3.878510670E-1
3.263325020E-1,7.769404650E-1,3.367400169E-1,-2.532444000E-1,8.838342895E-1
3.342670720E-1,9.269136190E-1,2.906084061E-2,-5.452222824E-1,1.075769830E0
3.472370430E-1,9.159716964E-1,-3.292064667E-1,-8.375816345E-1,1.284104373E0
3.551105780E-1,6.695060134E-1,-4.304375648E-1,-1.225697041E0,1.461454082E0
3.629841130E-1,6.895513535E-1,-1.145820618E-1,-1.746764183E0,1.881434354E0
3.709186830E-1,4.884551167E-1,-1.742010117E-1,-2.302803040E0,2.360473731E0
3.788532540E-1,1.113136411E-1,-2.286968231E-1,-3.034914017E0,3.045553489E0
3.867573060E-1,5.779299736E-1,-1.608829498E-1,-3.946174145E0,3.991513091E0
3.946308420E-1,6.837459803E-1,-3.124108315E-1,-4.369253635E0,4.433450848E0
4.025654120E-1,2.018088102E-1,-5.121898651E-1,-3.976054192E0,4.013984577E0
4.105305000E-1,-2.838866711E-1,-7.280492783E-1,-2.961120605E0,3.062496144E0
4.184040350E-1,1.262326241E-1,-6.407871246E-1,-2.719798565E0,2.797114057E0
4.263386050E-1,6.775746346E-1,-6.424727440E-1,-2.361079693E0,2.539010817E0
4.342426580E-1,4.711678028E-1,-7.965950966E-1,-1.602645397E0,1.850685040E0
4.421161930E-1,9.464805126E-1,-9.494926929E-1,-1.055937767E0,1.706565646E0
4.500507630E-1,1.514894009E0,-1.194900036E0,-1.175058365E0,2.259082140E0
4.579853340E-1,2.120327473E0,-1.308675766E0,-8.774013519E-1,2.641638504E0
4.659504220E-1,2.338597775E0,-1.362399817E0,3.314089775E-1,2.726720507E0
