"Time (s)";"Linear Acceleration x (m/s^2)";"Linear Acceleration y (m/s^2)";"Linear Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
7,247547500E-2;0,000000000E0;0,000000000E0;0,000000000E0;0,000000000E0
7,748052700E-2;-8,271813393E-3;2,753019333E-2;-3,627586365E-2;4,628469212E-2
8,248552700E-2;-2,580416203E-2;5,480933189E-2;-7,399940491E-2;9,563383066E-2
8,749052700E-2;-5,413639545E-2;6,029963493E-2;-1,203222275E-1;1,450663080E-1
9,247813100E-2;-6,822073460E-2;8,577585220E-2;-1,268911362E-1;1,676690964E-1
9,747958900E-2;-6,808793545E-2;9,251022339E-2;-1,275091171E-1;1,716178410E-1
1,024811000E-1;-7,369399071E-2;9,871935844E-2;-1,110286713E-1;1,658423403E-1
1,074826620E-1;-6,953322887E-2;7,468533516E-2;-1,072483063E-1;1,480370508E-1
1,124883390E-1;-8,833849430E-2;6,748747826E-2;-9,504890442E-2;1,462619005E-1
1,174906830E-1;-1,044365168E-1;6,415438652E-2;-3,145980835E-2;1,265404713E-1
1,224930270E-1;-7,458972931E-2;6,459426880E-2;1,761436462E-3;9,868713157E-2
1,274953710E-1;-8,125150204E-2;4,861307144E-2;3,626155853E-2;1,013900287E-1
1,325115170E-1;-9,948480129E-2;2,371764183E-2;9,456634521E-2;1,392930216E-1
1,375166730E-1;-9,774112701E-2;1,268386841E-3;1,533613205E-1;1,818643212E-1
1,425218290E-1;-5,294013023E-2;-3,271269798E-2;1,930294037E-1;2,028130387E-1
1,475269330E-1;5,590558052E-3;-3,294134140E-2;1,768360138E-1;1,799648913E-1
1,525116730E-1;4,128217697E-2;-4,856061935E-2;1,032266617E-1;1,213181584E-1
1,575127140E-1;8,913624287E-2;-9,227943420E-2;-4,291534424E-4;1,283002258E-1
1,625137040E-1;1,788550615E-1;-1,398098469E-1;-8,336067200E-2;2,418365728E-1
1,675147460E-1;1,957066059E-1;-1,615755558E-1;-1,332998276E-1;2,866645773E-1
1,725271940E-1;2,671396732E-1;-1,498422623E-1;-1,838178635E-1;3,572188622E-1
1,775305270E-1;2,493312359E-1;-1,609110832E-1;-2,167692184E-1;3,674878719E-1
1,825338600E-1;1,961470842E-1;-2,120563984E-1;-2,216377258E-1;3,640945980E-1
1,875371940E-1;1,181929111E-1;-1,985216141E-1;-2,132902145E-1;3,144409501E-1
1,925651100E-1;8,073222637E-2;-1,737105846E-1;-1,276464462E-1;2,301883464E-1
1,975733920E-1;7,981634140E-2;-1,128349304E-1;-1,564311981E-2;1,390937708E-1
2,025816730E-1;2,408516407E-2;-7,024836540E-2;2,296161652E-2;7,773135663E-2
2,075900060E-1;-6,060004234E-3;-2,687048912E-2;9,954643250E-2;1,032871679E-1
2,125826620E-1;-4,849076271E-3;-8,535623550E-3;1,969728470E-1;1,972173239E-1
2,175878190E-1;-1,746010780E-2;1,800966263E-2;2,522420883E-1;2,534862411E-1
2,225929230E-1;2,132534981E-2;3,859543800E-2;2,737808228E-1;2,773090646E-1
