"Time (s)";"Latitude (°)";"Longitude (°)";"Altitude (m)";"Altitude WGS84 (m)";"Speed (m/s)";"Direction (°)";"Distance (km)";"Horizontal Accuracy (m)";"Vertical Accuracy (m)";"Satellites"
9,345204100E-2;6,498846420E1;2,556098310E1;2,472149910E1;4,220000076E1;NaN;NaN;5,310266402E-3;3,748699951E1;2,995556116E0;0,000000000E0
6,237757810E0;6,498841658E1;2,556097457E1;2,300751660E0;1,977929688E1;1,500000060E-1;1,841999969E2;9,253918063E-3;8,515110016E0;2,116018105E1;0,000000000E0
7,237081247E0;6,498844879E1;2,556093946E1;-1,423833711E1;3,240173340E0;7,500000000E-1;2,799999952E0;1,077117216E-2;9,337894440E0;2,585729980E1;8,000000000E0
8,237121507E0;6,498845900E1;2,556096087E1;2,351148658E1;4,098999023E1;8,600000143E-1;1,536000061E2;2,173557725E-2;1,286658478E1;3,284513855E1;1,100000000E1
9,239691299E0;6,498836366E1;2,556090135E1;-1,362543592E1;3,853149414E0;0,000000000E0;NaN;2,394863649E-2;6,854919434E0;1,266520119E1;1,200000000E1
9,689358434E0;6,498835017E1;2,556086674E1;-1,634391943E1;1,134674072E0;0,000000000E0;NaN;2,497950629E-2;7,844164848E0;1,489675140E1;1,100000000E1
1,068908989E1;6,498835464E1;2,556088595E1;-4,864639162E0;1,261395264E1;0,000000000E0;NaN;2,638860275E-2;7,023694992E0;1,287868118E1;1,300000000E1
1,169136328E1;6,498835233E1;2,556085648E1;-2,733899452E-1;1,720520020E1;0,000000000E0;NaN;2,830543623E-2;6,218277454E0;1,127331734E1;1,600000000E1
1,269156796E1;6,498834706E1;2,556089530E1;7,662729267E-1;1,824487305E1;0,000000000E0;NaN;3,110873053E-2;6,058314323E0;1,099267006E1;1,700000000E1
1,369003192E1;6,498837040E1;2,556091784E1;5,501887592E0;2,298046875E1;0,000000000E0;NaN;3,127333219E-2;5,543564320E0;9,825132370E0;2,100000000E1
1,468987104E1;6,498837087E1;2,556092116E1;6,553950590E0;2,403253174E1;0,000000000E0;NaN;3,177820992E-2;5,255666256E0;9,184666634E0;2,500000000E1
1,569158817E1;6,498837060E1;2,556093188E1;5,995050020E0;2,347363281E1;0,000000000E0;NaN;3,251848312E-2;5,066220760E0;8,744408607E0;2,500000000E1
1,669214442E1;6,498836415E1;2,556092798E1;5,201221235E0;2,267980957E1;0,000000000E0;NaN;3,346843564E-2;4,920712948E0;8,077466011E0;2,600000000E1
1,768956817E1;6,498835766E1;2,556094112E1;4,856853092E0;2,233544922E1;0,000000000E0;NaN;3,388940139E-2;5,022029877E0;8,038917542E0;2,600000000E1
1,869056395E1;6,498836115E1;2,556093765E1;6,431685917E0;2,391027832E1;0,000000000E0;NaN;3,403181638E-2;4,633233547E0;7,028786659E0;2,600000000E1
1,969063994E1;6,498836240E1;2,556093699E1;6,943039714E0;2,442163086E1;0,000000000E0;NaN;3,436064784E-2;4,514365196E0;6,647962570E0;2,700000000E1
2,069039234E1;6,498836524E1;2,556093894E1;6,621753062E0;2,410034180E1;0,000000000E0;NaN;3,496664713E-2;4,400757790E0;6,324319839E0;2,600000000E1
2,169072489E1;6,498837064E1;2,556093720E1;6,823967824E0;2,430255127E1;0,000000000E0;NaN;3,500102399E-2;4,393817902E0;6,249295712E0;2,800000000E1
2,269048812E1;6,498837036E1;2,556093751E1;5,689079826E0;2,316766357E1;0,000000000E0;NaN;3,585217555E-2;4,302319050E0;5,855780125E0;2,600000000E1
2,368945108E1;6,498837799E1;2,556093606E1;5,932129161E0;2,341070557E1;0,000000000E0;NaN;3,619033045E-2;4,249353886E0;5,821135521E0;2,800000000E1
