"Time (s)";"Latitude (°)";"Longitude (°)";"Altitude (m)";"Altitude WGS84 (m)";"Speed (m/s)";"Direction (°)";"Distance (km)";"Horizontal Accuracy (m)";"Vertical Accuracy (m)";"Satellites"
1,211470060E-1;6,498821590E1;2,556077400E1;2,472129340E1;4,220000076E1;NaN;NaN;6,402313482E-3;3,856700134E1;1,024733639E1;0,000000000E0
1,460825510E1;6,498826801E1;2,556083192E1;4,671383886E1;6,419250488E1;6,200000048E-1;3,300000000E1;7,647287494E-3;1,626424599E1;5,126914597E1;0,000000000E0
1,560742848E1;6,498827732E1;2,556081721E1;1,496543642E1;3,244409180E1;3,899999857E-1;3,300000000E1;1,444758288E-2;1,197702217E1;4,131349182E1;8,000000000E0
1,660741489E1;6,498823131E1;2,556091250E1;-9,781872516E0;7,696838379E0;1,490000010E0;4,509999847E1;2,814341451E-2;1,310180855E1;4,227199554E1;8,000000000E0
1,760698854E1;6,498834731E1;2,556101044E1;-7,500190756E0;9,978424072E0;4,699999988E-1;4,509999847E1;4,339747232E-2;1,527737236E1;4,778117752E1;8,000000000E0
1,860787275E1;6,498822570E1;2,556086029E1;1,631499179E1;3,379370117E1;7,200000286E-1;4,509999847E1;4,473132099E-2;1,662736893E1;5,015708160E1;8,000000000E0
1,960712353E1;6,498823277E1;2,556088321E1;-1,821967443E0;1,565673828E1;2,899999917E-1;4,509999847E1;4,821631048E-2;1,635768890E1;4,810206223E1;8,000000000E0
2,060769307E1;6,498822880E1;2,556080968E1;3,330822637E1;5,078692627E1;4,070000172E0;4,740000153E1;1,036839567E-1;1,815843391E1;5,184499359E1;8,000000000E0
2,160706249E1;6,498865339E1;2,556142896E1;-1,673450428E0;1,580493164E1;2,700000107E-1;4,740000153E1;1,604711880E-1;3,484510803E1;9,726476288E1;8,000000000E0
2,260752786E1;6,498820716E1;2,556084149E1;5,555215947E1;7,303088379E1;2,509999990E0;1,896000061E2;1,876877643E-1;2,604673004E1;7,141431427E1;8,000000000E0
2,360872296E1;6,498797159E1;2,556068431E1;3,058198828E1;4,806091309E1;1,129999995E0;3,555000000E2;2,251831947E-1;3,702250671E1;8,698732758E1;8,000000000E0
2,560853119E1;6,498829586E1;2,556090308E1;-8,607616427E0;8,871032715E0;1,639999986E0;2,313999939E2;2,343505707E-1;1,219223022E1;3,407799530E1;0,000000000E0
